Plaatsnaam	Bedrijfsnaam	Winkelnaam	Straatnaam	Huisnummer	Huisnummer toevoeging
					
Anderlecht	Lidl	Anderlecht	Pierre Marchantstraat	21	
					
Braine-l' Alleud	Lidl	Braine-l' Alleud	Avenue de la Belle Province	20	
					
Nivelles	Lidl	Nivelles	Chemin Coparty	7	
					
Ukkel	Lidl	Ukkel	Alsembergsesteenweg	485-489	
					
Tienen	Lidl	Tienen	Moespikvest	11	
					
Vorst	Lidl	Vorst	Van Volxemlaan	290-294	
					
Sint-Jans-Molenbeek	Lidl	Molenbeek - Rotterdamstraat	Rotterdamstraat	51	
					
Landen	Lidl	Landen	Fabriekstraat	2	
					
Brussel	Lidl	Brussel - Van Arteveldestraat	Van Arteveldestraat	26	
					
Sint-Genesius-Rode	Lidl	Sint-Genesius-Rode	Hallesesteenweg	138-148	
					
Schaarbeek	Lidl	Schaarbeek	Waelhemstraat	86-92	
					
Sint-Jans-Molenbeek	Lidl	Molenbeek - Karreveld	Gentsesteenweg	310	
					
Leuven	Lidl	Leuven	Minckelerstraat	136	
					
Ternat	Lidl	Ternat	Kerkstraat	70	
					
Hamme-Mille (Beauvechain)	Lidl	Hamme-Mille	Chaussée de Louvain	31	
					
Sint-Jans-Molenbeek	Lidl	Molenbeek - Ninoofse Steenweg	Ninoofse Steenweg	256	
					
Anderlecht	Lidl	Anderlecht - Bergense Steenweg	Bergense Steenweg	192	
					
Sint-Agatha-Berchem	Lidl	Sint-Agatha-Berchem	Zellikse Steenweg	10	
					
Wemmel	Lidl	Wemmel	Steenweg op Brussel	162	
					
Elsene	Lidl	Elsene-Waverse stwg	Waverse Steenweg	138	
					
Wolvertem	Lidl	Wolvertem	Wilgenlaan	50	
					
Boortmeerbeek	Lidl	Boortmeerbeek	Leuvensesteenweg	377	
					
Vilvoorde	Lidl	Vilvoorde	Portaelsstraat	9	
					
Affligem	Lidl	Affligem	Brusselbaan	173	
					
Korbeek-Lo	Lidl	Korbeek-Lo	Vlinderlaan	2	
					
Lubbeek	Lidl	Lubbeek	Staatsbaan	110	
					
Zemst	Lidl	Zemst	Brusselsesteenweg	38	
					
Laken	Lidl	Laken 2	Steylsstraat	111	
					
Opwijk	Lidl	Opwijk	Steenweg op Brussel	84	
					
Court-Saint-Etienne	Lidl	Court-Saint-Etienne	Rue des Métallurgistes	1	c
					
Sint-Pieters-Leeuw	Lidl	Sint-Pieters-Leeuw	Bergensesteenweg	250	
					
Diest	Lidl	Diest	Leuvensesteenweg	141	
					
Jodoigne	Lidl	Jodoigne	Chaussée d'Hannut	53	
					
Tubize	Lidl	Tubize	Rue de Bruxelles	114	
					
Scherpenheuvel	Lidl	Scherpenheuvel	Mannenberg	26	
					
Laken	Lidl	Laken 1	Avenue de la Reine	183 - 189	
					
Elsene	Lidl	Elsene-Graystraat	Graystraat	138	
					
Bruxelles	Lidl	Bruxelles-Rue Haute	Rue Haute	39-51	
					
Evere	Lidl	Evere-Mommaertslaan	Mommaertslaan	2	
					
Braine-le-Chateau	Lidl	Braine-le-Château-Rue de Nivelles	Rue de Nivelles	72	A
					
Machelen	Lidl	Machelen	Woluwelaan	80	
					
Perwez	Lidl	Perwez-Chaussée de Wavre	Chaussée de Wavre	110	
					
Schoten	Lidl	Schoten - Brechtsebaan	Zaatstraat	30	
					
Zwijndrecht	Lidl	Zwijndrecht	Burchtsestraat	14	
					
Hoboken (Antwerpen)	Lidl	Hoboken	Weerstandlaan	28	
					
Antwerpen	Lidl	Antwerpen - Slachthuislaan	Slachthuislaan	76	A
					
Wilrijk (Antwerpen)	Lidl	Wilrijk	Jules Moretuslei	95-101	
					
Antwerpen	Lidl	Antwerpen - Van De Wervestraat	Van De Wervestraat	82-86	
					
Duffel	Lidl	Duffel	Kruisstraat	163	
					
Reet	Lidl	Reet	s Herenbaan	182	
					
Retie	Lidl	Retie	Turnhoutsebaan	40	
					
Mol	Lidl	Mol	Molderdijk	32	
					
Berlaar	Lidl	Berlaar	Dorpsstraat	57	
					
Mechelen	Lidl	Mechelen	Nekkerspoelstraat	297	
					
Antwerpen	Lidl	Antwerpen - Linkeroever	Carel Van Manderstraat	12	
					
Zandhoven	Lidl	Zandhoven	Ringlaan	170	
					
Deurne (Antwerpen)	Lidl	Deurne - Herentalsebaan	Herentalsebaan	45	
					
Oud-Turnhout	Lidl	Oud-Turnhout	Steenweg op Mol	118	1
					
Turnhout	Lidl	Turnhout	Steenweg op Zevendonk	13	
					
Balen	Lidl	Balen	Schoor	37	1
					
Emblem	Lidl	Emblem	Liersesteenweg	122	
					
Herselt	Lidl	Herselt	Aarschotse Steenweg	53	
					
Grobbendonk	Lidl	Grobbendonk	Leopoldstraat	34	
					
Ekeren (Antwerpen)	Lidl	Ekeren	Driehoekstraat	120	
					
Heist-op-den-Berg	Lidl	Heist-op-den-Berg	Schoorstraat	3	
					
Schoten	Lidl	Schoten - Bredabaan	Bredabaan	1201	1
					
Willebroek	Lidl	Willebroek	Dendermondsesteenweg	121	
					
Deurne (Antwerpen)	Lidl	Deurne - Craeybeckxlaan	F. Craeybeckxlaan	33	
					
Deurne (Antwerpen)	Lidl	Deurne - Bisschoppenhoflaan	Bisschoppenhoflaan	477-481	
					
Wommelgem	Lidl	Wommelgem	Autolei	53	
					
Hoogstraten	Lidl	Hoogstraten	Gelmelstraat	82	
					
Kasterlee	Lidl	Kasterlee	Geelsebaan	123	
					
Antwerpen	Lidl	Antwerpen - Kievitplein	Lange Kievitstraat	147-149	1
					
Lille	Lidl	Lille	Poederleese Weg	91	
					
Geel	Lidl	Geel - Antwerpseweg	Antwerpseweg	89	
					
Putte	Lidl	Putte	Mechelbaan	365	
					
Kontich	Lidl	Kontich	Groeningenlei	37	
					
Stabroek	Lidl	Stabroek	Picoloplein	7	
					
Rijkevorsel	Lidl	Rijkevorsel	Drijhoek	19	
					
Beerse	Lidl	Beerse	Turnhoutseweg	69	
					
Wuustwezel	Lidl	Wuustwezel	Bredabaan	376	
					
Antwerpen	Lidl	Antwerpen	Frankrijklei	23-25	
					
Herentals	Lidl	Herentals	Augustijnenlaan	4	
					
Geel	Lidl	Geel - Dr. Van de Perrestraat	Dr. Van de Perrestraat	19	
					
Genk	Lidl	Genk - Brethei	Weg naar As	124	1
					
Genk	Lidl	Genk - Kolderbos	Hooiweg	95	
					
Genk	Lidl	Genk - Waterschei	Stalenstraat	215	1
					
Wellen	Lidl	Wellen	Dorpsstraat	28	A1
					
Maaseik	Lidl	Maaseik	Koning Albertlaan	37 - 39	
					
Tessenderlo	Lidl	Tessenderlo	Diesterstraat	213	A
					
Lanaken	Lidl	Lanaken	Maaseikersteenweg	197	
					
Dilsen-Stokkem	Lidl	Dilsen	Oude Kerkstraat	3	
					
Paal	Lidl	Paal	Diestersesteenweg	70	
					
Koersel	Lidl	Koersel	Albert I-laan	27	
					
Sint-Truiden	Lidl	Sint-Truiden - Hasseltsesteenweg	Hasseltsesteenweg	37	
					
Heusden-Zolder	Lidl	Heusden	Brugstraat	48	
					
Lommel	Lidl	Lommel	Binnensingel	50	
					
Lummen	Lidl	Lummen	Groenstraat	4	
					
Ham	Lidl	Oostham	Torenlaan	7	A
					
Hasselt	Lidl	Hasselt	Kempische Steenweg	144-146	
					
Neerpelt	Lidl	Neerpelt	Heerstraat	69	
					
Genk	Lidl	Genk - Hasseltweg	Hasseltweg	24	
					
Kermt (Hasselt)	Lidl	Kermt	Diestersteenweg	104	
					
Heusden-Zolder	Lidl	Zolder	Meylandtlaan	171	
					
Sint-Lambrechts-Herk	Lidl	Sint-Lambrechts-Herk	Sint-Truidersteenweg	470	A
					
Bree	Lidl	Bree	Toleikstraat	12	
					
